﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja maszyn i urządzeń przemysłu dziewiarskiego;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;50;.;.;.;.;134;191;271;376;531;674;546;37;132;113;69;94;71;103;273;312;391;439;368;287;127;32;11;9;7;5;—;—;3;1
Produkcja maszyn i urządzeń przemysłu spożywczego;t;533;736;1016;1400;1423;2518;8195;9989;11 760;9779;12 792;15 939;18 984;25 055;27 692;36 387;38 243;39 689;39 818;43 189;45 940;47 114;54 457;56 617;56 901;47 274;55 394;62 027;64 755;75 897;72 897;77 423;77 697;79 396;73 202;69 527;68 374;66 353;65 035;55 721;50 891;43 634;43 181;42 916;36 745;22 241;13 726;11 753;10 944;12 256;11 002;14 604;12 877;15 866
dla przemysłu mleczarskiego;t;.;.;.;.;.;.;.;.;.;556;551;829;1594;2552;2388;1999;2104;1751;1741;2042;2198;3052;3996;3736;1912;2230;4717;5012;4631;4407;6129;3353;4208;3850;3502;2882;3339;2129;2425;2523;3196;2389;1993;2209;1811;1009;799;840;975;1149;1242;1258;1067;806
dla przemysłu cukrowniczego;t;174;339;393;456;529;615;637;696;1653;2222;2798;3114;5563;9841;10 723;15 089;13 480;13 653;12 892;14 243;14 014;12 375;18 886;21 894;21 476;12 120;10 711;12 417;11 464;19 149;17 881;20 109;23 316;26 379;19 076;14 219;12 845;10 084;9415;9469;9290;9583;12 159;12 177;10 429;4852;1969;1309;998;1018;994;1913;1651;1562
pozostałych;t;.;.;.;.;.;.;.;.;.;7001;9443;11 996,0;11 827,0;12 662,0;14 581,0;19 299,0;22 659,0;24 285,0;25 185,0;26 904,0;29 728,0;31 687,0;31 575,0;30 987,0;33 513,0;32 924,0;39 966,0;44 598,0;48 660,0;52 341,0;48 887,0;53 961,0;50 173,0;49 167,0;50 624,0;52 426,0;52 190,0;54 140,0;53 195,0;43 729,0;38 405,0;31 662,0;29 029,0;28 530,0;24 505,0;16 380,0;10 958,0;9604;8971;10 089,0;8766;11 433,0;10 159,0;13 498,0
Produkcja maszyn i urządzeń do obróbki mechanicznej drewna;szt.;310;382;306;278;458;1069;1872;1220;1379;1586;1846;2607;3384;4145;7439;9085;10 428;5967;7530;9504;18 729;17 881;17 150;17 867;17 836;18 982;20 313;23 454;27 399;31 259;28 264;31 705;25 908;33 020;39 946;32 653;32 757;31 341;41 847;44 193;35 243;34 421;34 968;47 220;39 349;26 385;14 728;13 594;15 267;14 954;10 877;9065;11 241;7161
Produkcja maszyn i urządzeń do obróbki mechanicznej drewna;t;256;370;276;392;551;910;1516;1158;1182;1455;1810;2387;2613;2792;4023;4495;5739;5294;6003;6724;7985;8675;9236;9146;9115;8592;9061;10 706;12 691;13 492;14 143;12 306;15 081;14 855;14 986;13 058;11 587;11 474;12 796;13 569;13 207;13 452;12 918;12 257;10 485;7125;4849;4508;4182;4567;4248;4054;3401;2860
Produkcja maszyn i urządzeń przemysłu celulozowego;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;436;58;38;104;232;42;98;14;4;6;162;8;54;—;3;—;13;19;10;14;239;—;—;2;5;24;2;1;—;2
Produkcja maszyn i urządzeń przemysłu papierniczego;t;32;116;191;316;1087;1439;2336;1539;1583;1523;1955;1189;712;2435;1441;1627;2113;3127;2111;3187;1977;5786;6268;6808;8709;8332;6263;6857;8200;8458;6894;6034;7034;6668;6925;5598;4562;3593;3719;4189;3718;3130;4555;3132;3453;1949;2066;3196;1218;3150;6406;2784;4375;4420
Produkcja maszyn i urządzeń do robót budowlanych, drogowych i melioracyjnych;t;115;156;307;606;3631;12 202;14 937;15 487;14 203;16 829;20 533;25 770;28 212;28 155;35 286;32 056;36 260;40 454;41 446;46 892;54 379;69 315;77 550;93 548;107 354;109 220;121 884;138 674;129 055;143 055;152 917;168 597;179 225;199 826;181 063;137 422;110 486;107 527;120 121;123 844;131 957;143 305;140 674;131 796;99 528;37 500;30 776;23 395;32 165;34 214;32 290;39 202;34 601;27 943
